view,series,band,bin_days,start_jd,end_jd,mid_jd,year,magnitude,q1,q3,mad,n,uncertain
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2391726.0,2391726.0,2391726.0,1836.22268,1.1,1.1,1.1,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2391961.0,2391961.0,2391961.0,1836.86475,0.0,0.0,0.0,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2391962.0,2391962.0,2391962.0,1836.86749,0.1,0.1,0.1,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2391975.0,2391975.0,2391975.0,1836.90301,0.4,0.4,0.4,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392307.0,2392307.0,2392307.0,1837.81233,0.3,0.3,0.3,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392307.0,2392307.0,2392307.0,1837.81233,-0.1,-0.1,-0.1,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392347.0,2392347.0,2392347.0,1837.92192,0.8,0.8,0.8,0.0,1,True
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392360.0,2392360.0,2392360.0,1837.95753,0.7,0.7,0.7,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392373.0,2392373.0,2392373.0,1837.99315,0.6,0.6,0.6,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392377.0,2392377.0,2392377.0,1838.00411,0.8,0.8,0.8,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392381.0,2392381.0,2392381.0,1838.01507,0.7,0.7,0.7,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392388.0,2392388.0,2392388.0,1838.03425,0.8,0.8,0.8,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392431.0,2392431.0,2392431.0,1838.15205,0.6,0.6,0.6,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392479.0,2392479.0,2392479.0,1838.28356,0.5,0.5,0.5,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392756.0,2392756.0,2392756.0,1839.04247,1.1,1.1,1.1,0.0,1,True
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392757.0,2392757.0,2392757.0,1839.04521,1.0,1.0,1.0,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2392762.0,2392762.0,2392762.0,1839.0589,1.0,1.0,1.0,0.0,1,False
historical point,Herschel estimates (Lloyd 2020 reconstruction),historical visual,0,2393070.0,2393070.0,2393070.0,1839.90274,0.1,0.1,0.1,0.0,1,False
